timestamp,LF_angle,LF_velocity,RF_angle,RF_velocity,LB_angle,LB_velocity,RB_angle,RB_velocity
1.19209e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.09673e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.38283e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.12057e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
9.77516e-06,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.3113e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.40667e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.12057e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.28746e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.26362e-05,31.9988,2.49608,32.0067,2.49553,32.0114,2.49642,32.0193,2.49587
1.19209e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.28746e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.19209e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.40667e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.16825e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.38283e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.21593e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.09673e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.28746e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.3113e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.28746e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.3113e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.28746e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.19209e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.21593e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
1.21593e-05,32.0066,2.4999,32.0089,2.49974,32.0103,2.5,32.0126,2.49984
